[2018-05-25 19:45:31,363][draw][8664][INFO][allCity_pie():249]## 绘制城市职位概总饼图
[2018-05-25 19:45:31,363][dataoptions][8664][INFO][getJobInCity():95]## 统计所有职位分布
[2018-05-25 19:46:14,265][draw][8664][INFO][compare():133]## 比较Linux和C#
[2018-05-25 19:46:14,265][dataoptions][8664][INFO][compress():142]## 比较Linux和C#
[2018-05-25 19:46:14,265][dataoptions][8664][INFO][cityOfJob():104]## 统计Linux的城市分布信息
[2018-05-25 19:46:14,265][dataoptions][8664][INFO][cityOfJob():104]## 统计C#的城市分布信息
[2018-05-25 19:46:19,798][draw][8664][INFO][compare():133]## 比较Python和C#
[2018-05-25 19:46:19,798][dataoptions][8664][INFO][compress():142]## 比较Python和C#
[2018-05-25 19:46:19,798][dataoptions][8664][INFO][cityOfJob():104]## 统计Python的城市分布信息
[2018-05-25 19:46:19,798][dataoptions][8664][INFO][cityOfJob():104]## 统计C#的城市分布信息
[2018-05-25 19:46:23,814][draw][8664][INFO][echoRadiobutton():109]## 回应单选按钮
[2018-05-25 19:46:23,814][draw][8664][INFO][allCity_pie():249]## 绘制城市职位概总饼图
[2018-05-25 19:46:23,814][dataoptions][8664][INFO][getJobInCity():95]## 统计所有职位分布
[2018-05-25 19:46:23,970][draw][8664][INFO][allJobs_pie():264]## 绘制职位信息概总饼图
[2018-05-25 19:46:23,970][dataoptions][8664][INFO][getAllJobNum():108]## 统计所有职位量
[2018-05-25 19:46:25,423][draw][8664][INFO][reDraw():279]## 重绘
[2018-05-25 19:46:25,423][draw][8664][INFO][jobsCountInCity():221]## 绘制深圳职位分布柱状图
[2018-05-25 19:46:25,423][dataoptions][8664][INFO][jobsInCity():138]## 统计深圳的招聘情况
[2018-05-25 19:46:25,595][draw][8664][INFO][jobsCountInCity_pie():234]## 绘制深圳职位信息饼图
[2018-05-25 19:46:25,595][dataoptions][8664][INFO][jobsInCity():138]## 统计深圳的招聘情况
[2018-05-25 22:12:09,962][draw][2380][INFO][__init__():32]## 实例化draw
[2018-05-25 22:12:10,587][draw][2380][INFO][createCombobox():54]## 创建调参栏
[2018-05-25 22:12:10,666][draw][2380][INFO][creatCanvas():92]## 创建三块画板
[2018-05-25 22:12:10,962][draw][2380][INFO][compare():133]## 比较Linux和Web
[2018-05-25 22:12:10,962][dataoptions][2380][INFO][compress():142]## 比较Linux和Web
[2018-05-25 22:12:10,962][dataoptions][2380][INFO][cityOfJob():104]## 统计Linux的城市分布信息
[2018-05-25 22:12:10,962][dataoptions][2380][INFO][cityOfJob():104]## 统计Web的城市分布信息
[2018-05-25 22:12:11,306][draw][2380][INFO][reDraw():279]## 重绘
[2018-05-25 22:12:11,306][draw][2380][INFO][allJobs_pie():264]## 绘制职位信息概总饼图
[2018-05-25 22:12:11,306][dataoptions][2380][INFO][getAllJobNum():108]## 统计所有职位量
[2018-05-25 22:12:11,447][draw][2380][INFO][allCity_pie():249]## 绘制城市职位概总饼图
[2018-05-25 22:12:11,447][dataoptions][2380][INFO][getJobInCity():95]## 统计所有职位分布
[2018-05-25 22:12:21,962][draw][2380][INFO][reDraw():279]## 重绘
[2018-05-25 22:12:21,962][draw][2380][INFO][cityCountOfjob():193]## 绘制Python的招聘情况柱状图
[2018-05-25 22:12:21,962][dataoptions][2380][INFO][cityOfJob():104]## 统计Python的城市分布信息
[2018-05-25 22:12:22,150][draw][2380][INFO][cityCountOfjob_pie():207]## 绘制Python的城市分布饼图
[2018-05-25 22:12:22,150][dataoptions][2380][INFO][cityOfJob():104]## 统计Python的城市分布信息
[2018-05-25 22:51:23,093][draw][11856][INFO][__init__():32]## 实例化draw
[2018-05-25 22:51:23,734][draw][11856][INFO][createCombobox():54]## 创建调参栏
[2018-05-25 22:51:23,765][draw][11856][INFO][creatCanvas():92]## 创建三块画板
[2018-05-25 22:51:24,062][draw][11856][INFO][compare():133]## 比较Linux和Web
